Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Castilla-La Mancha;18484;3033.0;2020-07-21;2032863;16.408785977061243;0.909259502484919;0.14919844573884222
Andalucia;14041;1435.0;2020-07-21;8414240;10.220069795598604;0.1668718743463462;0.017054422027420184
Aragon;8720;915.0;2020-07-21;1319291;10.493119266055047;0.6609610768208075;0.06935543409300905
Asturias;2447;334.0;2020-07-21;1022800;13.64936657131181;0.2392452092295659;0.032655455612045366
Castilla-Leon;19946;2795.0;2020-07-21;2399548;14.012834653564624;0.8312398835113947;0.11648027045093493
Valencia;12182;1433.0;2020-07-21;5003769;11.763257264816943;0.24345648250348886;0.028638412364759443
Canarias;2553;162.0;2020-07-21;2153389;6.345475910693302;0.11855730664547837;0.007523025333555619
Cantabria;2405;217.0;2020-07-21;581078;9.022869022869022;0.41388591548811005;0.03734438405859454
Baleares;2321;224.0;2020-07-21;1149460;9.65101249461439;0.20192090198875995;0.0194874114801733
Total;267551;28426.0;2020-07-22;48525383;10.624516447331537;0.5513629846053971;0.05857965098389847
Ceuta;164;4.0;2020-07-22;84777;2.4390243902439024;0.19344869481109264;0.00471826084905104
Navarra;6089;529.0;2020-07-22;2153389;8.687797667925768;0.28276358800012447;0.02456592840401804
Murcia;1880;148.0;2020-07-22;1493898;7.872340425531915;0.12584527189942019;0.009906968213358609
Melilla;129;2.0;2020-07-22;86487;1.550387596899225;0.14915536439002394;0.0023124862696127743
Madrid;73552;8449.0;2020-07-22;6663394;11.487111159451816;1.103821866154095;0.12679724476745635
La Rioja;4153;366.0;2020-07-22;316798;8.81290633277149;1.3109299932449068;0.11553103239288127
Galicia;9520;619.0;2020-07-22;2699499;6.5021008403361344;0.35265803024931663;0.022930180748353676
Extremadura;3295;519.0;2020-07-22;1067710;15.751138088012139;0.30860439632484477;0.04860870461080256
Pais Vasco;14802;1563.0;2020-07-22;2207776;10.559383867044994;0.67044845129216;0.07079522560259736
Cataluña;70317;5680.0;2020-07-22;7675217;8.07770524908628;0.9161565073665018;0.07400442228538946
Castilla-La Mancha;18501;3032.0;2020-07-22;2032863;16.388303334954866;0.9100957614949949;0.14914925403236715
Cantabria;2406;217.0;2020-07-22;581078;9.019118869492935;0.41405800942386395;0.03734438405859454
Canarias;2564;162.0;2020-07-22;2153389;6.318252730109204;0.11906812935331239;0.007523025333555619
Valencia;12239;1433.0;2020-07-22;5003769;11.708472914453795;0.2445956238187654;0.028638412364759443
Baleares;2326;224.0;2020-07-22;1149460;9.630266552020636;0.20235588885215666;0.0194874114801733
Asturias;2448;334.0;2020-07-22;1022800;13.643790849673202;0.23934298005475166;0.032655455612045366
Aragon;9045;915.0;2020-07-22;1319291;10.11608623548922;0.6855955206243354;0.06935543409300905
Andalucia;14158;1435.0;2020-07-22;8414240;10.135612374629185;0.16826237426077698;0.017054422027420184
Castilla-Leon;19963;2795.0;2020-07-22;2399548;14.000901668085959;0.8319483502726347;0.11648027045093493
Galicia;9554;619.0;2020-07-23;2699499;6.478961691438141;0.35391752321449277;0.022930180748353676
Madrid;73767;8450.0;2020-07-23;6663394;11.454986647145743;1.1070484500841462;0.12681225213457287
Melilla;129;2.0;2020-07-23;86487;1.550387596899225;0.14915536439002394;0.0023124862696127743
Extremadura;3298;519.0;2020-07-23;1067710;15.736810187992722;0.3088853714960055;0.04860870461080256
Navarra;6153;529.0;2020-07-23;2153389;8.597432146920202;0.28573564739115875;0.02456592840401804
Pais Vasco;14958;1563.0;2020-07-23;2207776;10.44925792218211;0.6775143855173713;0.07079522560259736
Total;270166;28429.0;2020-07-23;48525383;10.522789692263276;0.5567519168267049;0.058585833315318706
Murcia;1881;148.0;2020-07-23;1493898;7.868155236576289;0.12591221087383475;0.009906968213358609
Cataluña;71814;5680.0;2020-07-23;7675217;7.909321302253042;0.9356608419019293;0.07400442228538946
