Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Madrid;70521;8691.0;2020-06-14;6779888;12.323988599140682;1.040149925780485;0.1281879582671572
Total;243928;27136.0;2020-06-14;48965550;11.124594142533862;0.49816248362369053;0.05541855447350229
Cataluña;60645;5666.0;2020-06-21;7780479;9.342897188556353;0.7794507253345199;0.07282327990346096
Pais Vasco;13708;1555.0;2020-06-21;2220504;11.343740881237233;0.61733732521986;0.07002914653610172
Andalucia;12884;1426.0;2020-06-21;8464411;11.067991307047501;0.1522137807344185;0.016847008019813783
Aragon;5931;911.0;2020-06-21;1329391;15.359973023098972;0.44614413667611713;0.06852761903758939
Asturias;2435;333.0;2020-06-21;1018784;13.675564681724847;0.23901042811822723;0.032686025693375635
Baleares;2179;224.0;2020-06-21;1171543;10.279944928866453;0.18599402668105225;0.019120083513793348
Valencia;11479;1431.0;2020-06-21;5057353;12.466242704068298;0.22697644400143713;0.02829543439028282
Canarias;2414;162.0;2020-06-21;2175952;6.710853355426678;0.11093994720471775;0.007445017169496386
Total;246272;28323.0;2020-06-21;48965550;11.500698414760915;0.5029495226746151;0.05784270778128705
Cantabria;2344;216.0;2020-06-21;582905;9.215017064846416;0.4021238452234927;0.03705578095916144
Castilla-Leon;19499;2777.0;2020-06-21;2394918;14.241755987486538;0.8141823644901413;0.11595386564383416
Navarra;5381;528.0;2020-06-21;2175952;9.812302545995168;0.2472940579571608;0.02426524114502526
Ceuta;163;4.0;2020-06-21;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Extremadura;3006;519.0;2020-06-21;1063987;17.265469061876246;0.2825222488620632;0.048778791470196536
Galicia;9174;619.0;2020-06-21;2701819;6.747329409199913;0.33954902234383577;0.022910491043256414
La Rioja;4073;365.0;2020-06-21;319914;8.961453474097716;1.2731546603149597;0.11409316253743193
Madrid;71223;8416.0;2020-06-21;6779888;11.816407621133623;1.050504079123431;0.12413184406586067
Castilla-La Mancha;17965;3022.0;2020-06-21;2045221;16.82159755079321;0.8783891814136467;0.14775909302711052
Melilla;124;2.0;2020-06-21;87076;1.6129032258064515;0.14240433644172906;0.0022968441361569205
Murcia;1645;147.0;2020-06-21;1511251;8.936170212765957;0.10885021746883873;0.009727040709981333
La Rioja;4076;366.0;2020-06-28;319914;8.979391560353287;1.2740924123358153;0.1144057465443838
Castilla-Leon;19634;2783.0;2020-06-28;2394918;14.174391361923194;0.819819300702571;0.11620439614216437
Castilla-La Mancha;18094;3024.0;2020-06-28;2045221;16.71272244943075;0.8846965682437252;0.14785688197021252
Cantabria;2362;216.0;2020-06-28;582905;9.144792548687553;0.40521182697008945;0.03705578095916144
Canarias;2427;162.0;2020-06-28;2175952;6.6749072929542645;0.11153738685412178;0.007445017169496386
Valencia;11537;1432.0;2020-06-28;5057353;12.412238883591922;0.22812328900118303;0.028315207579933614
Baleares;2205;224.0;2020-06-28;1171543;10.158730158730158;0.18821332208890326;0.019120083513793348
Asturias;2435;334.0;2020-06-28;1018784;13.716632443531827;0.23901042811822723;0.032784181926689075
Aragon;6304;912.0;2020-06-28;1329391;14.467005076142131;0.4742020970504539;0.06860284145146162
Andalucia;13045;1426.0;2020-06-28;8464411;10.93139133767727;0.15411586228504262;0.016847008019813783
Extremadura;3026;519.0;2020-06-28;1063987;17.15135492399207;0.2844019710767143;0.048778791470196536
Galicia;9202;619.0;2020-06-28;2701819;6.726798522060422;0.3405853611955501;0.022910491043256414
Ceuta;163;4.0;2020-06-28;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Madrid;71881;8421.0;2020-06-28;6779888;11.715195948859922;1.0602092541941697;0.12420559159679334
Melilla;126;2.0;2020-06-28;87076;1.5873015873015872;0.14470118057788597;0.0022968441361569205
Murcia;1672;147.0;2020-06-28;1511251;8.791866028708133;0.11063681678291694;0.009727040709981333
Navarra;5459;528.0;2020-06-28;2175952;9.672101117420773;0.250878695853585;0.02426524114502526
Cataluña;61355;5669.0;2020-06-28;7780479;9.239670768478527;0.7885761275109154;0.07286183794082601
Pais Vasco;13767;1555.0;2020-06-28;2220504;11.295126026004214;0.6199943796543488;0.07002914653610172
Total;248770;28343.0;2020-06-28;48965550;11.393254813683322;0.5080510685573837;0.05788355282438368
Murcia;1697;148.0;2020-07-05;1511251;8.721272834413671;0.11229107540706341;0.009793211054947192
La Rioja;4078;366.0;2020-07-05;319914;8.974987739087789;1.274717580349719;0.1144057465443838
Galicia;9251;619.0;2020-07-05;2701819;6.691168522321911;0.3423989541860502;0.022910491043256414
Extremadura;3047;519.0;2020-07-05;1063987;17.033147358057107;0.28637567940209796;0.048778791470196536
Ceuta;163;4.0;2020-07-05;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Cataluña;62057;5673.0;2020-07-05;7780479;9.141595629824193;0.7975987082543375;0.07291324865731275
Castilla-Leon;19753;2787.0;2020-07-05;2394918;14.109249227965373;0.8247881555861203;0.11637141647438451
Madrid;72168;8439.0;2020-07-05;6779888;11.693548387096774;1.0644423624697046;0.12447108270815094
Castilla-La Mancha;18209;3026.0;2020-07-05;2045221;16.618155856993795;0.8903194324720898;0.1479546709133145
Canarias;2436;162.0;2020-07-05;2175952;6.650246305418719;0.1119509989190938;0.007445017169496386
Valencia;11630;1432.0;2020-07-05;5057353;12.31298366294067;0.22996219563870665;0.028315207579933614
Baleares;2228;224.0;2020-07-05;1171543;10.053859964093357;0.19017654494969455;0.019120083513793348
Asturias;2435;334.0;2020-07-05;1018784;13.716632443531827;0.23901042811822723;0.032784181926689075
Aragon;6412;912.0;2020-07-05;1329391;14.22333125389894;0.4823261177486533;0.06860284145146162
Andalucia;13205;1433.0;2020-07-05;8464411;10.851950018932223;0.15600612966454488;0.016929707217667005
Cantabria;2364;216.0;2020-07-05;582905;9.137055837563452;0.40555493605304466;0.03705578095916144
Melilla;126;2.0;2020-07-05;87076;1.5873015873015872;0.14470118057788597;0.0022968441361569205
Navarra;5477;528.0;2020-07-05;2175952;9.640314040533138;0.25170591998352904;0.02426524114502526
Pais Vasco;13809;1561.0;2020-07-05;2220504;11.30422188427837;0.6218858421331374;0.07029935546164294
Total;250545;28385.0;2020-07-05;48965550;11.329302121375402;0.5116760661322093;0.05796932741488659
Pais Vasco;13939;1562.0;2020-07-12;2220504;11.20596886433747;0.6277403688531973;0.07034439028256648
Galicia;9431;619.0;2020-07-12;2701819;6.563460926730993;0.3490611325184996;0.022910491043256414
