Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Ceuta;0.0;0.0;2020-06-28;Ceuta
Extremadura;20.0;0.0;2020-06-28;Extremadura
Castilla-La Mancha;129.0;2.0;2020-06-28;Castilla - La Mancha
Madrid;658.0;5.0;2020-06-28;Comunidad de Madrid
La Rioja;3.0;1.0;2020-06-28;La Rioja
Pais Vasco;59.0;0.0;2020-06-28;País Vasco
Total;2498.0;20.0;2020-06-28;Total
Canarias;13.0;0.0;2020-06-28;Canarias
Cantabria;18.0;0.0;2020-06-28;Cantabria
La Rioja;2.0;0.0;2020-07-05;La Rioja
Madrid;287.0;18.0;2020-07-05;Comunidad de Madrid
Murcia;25.0;1.0;2020-07-05;Región de Murcia
Aragon;108.0;0.0;2020-07-05;Aragón
Navarra;18.0;0.0;2020-07-05;Comunidad Foral de Navarra
Total;1775.0;42.0;2020-07-05;Total
Andalucia;160.0;7.0;2020-07-05;Andalucía
Melilla;0.0;0.0;2020-07-05;Melilla
Cantabria;2.0;0.0;2020-07-05;Cantabria
Pais Vasco;42.0;6.0;2020-07-05;País Vasco
Castilla-Leon;119.0;4.0;2020-07-05;Castilla y León
Ceuta;0.0;0.0;2020-07-05;Ceuta
Baleares;23.0;0.0;2020-07-05;Illes Balears
Canarias;9.0;0.0;2020-07-05;Canarias
Asturias;0.0;0.0;2020-07-05;Principado de Asturias
Galicia;49.0;0.0;2020-07-05;Galicia
Castilla-La Mancha;115.0;2.0;2020-07-05;Castilla - La Mancha
Extremadura;21.0;0.0;2020-07-05;Extremadura
Cataluña;702.0;4.0;2020-07-05;Cataluña
Valencia;93.0;0.0;2020-07-05;Comunitat Valenciana
Cataluña;1831.0;2.0;2020-07-12;Cataluña
Andalucia;181.0;2.0;2020-07-12;Andalucía
Ceuta;0.0;0.0;2020-07-12;Ceuta
Asturias;2.0;0.0;2020-07-12;Principado de Asturias
Cantabria;5.0;0.0;2020-07-12;Cantabria
Murcia;29.0;0.0;2020-07-12;Región de Murcia
Aragon;220.0;3.0;2020-07-12;Aragón
Baleares;21.0;0.0;2020-07-12;Illes Balears
Navarra;46.0;0.0;2020-07-12;Comunidad Foral de Navarra
Pais Vasco;130.0;1.0;2020-07-12;País Vasco
Total;3363.0;18.0;2020-07-12;Total
La Rioja;3.0;0.0;2020-07-12;La Rioja
