Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Asturias;2462.0;97.0;2020-11-08;Principado de Asturias
Aragon;6472.0;126.0;2020-11-08;Aragón
Cantabria;1413.0;6.0;2020-11-08;Cantabria
Pais Vasco;8249.0;66.0;2020-11-08;País Vasco
Total;143154.0;2955.0;2020-11-08;Total
Baleares;1585.0;14.0;2020-11-08;Illes Balears
Castilla-Leon;11831.0;235.0;2020-11-08;Castilla y León
Murcia;7024.0;72.0;2020-11-08;Región de Murcia
Cataluña;29588.0;1234.0;2020-11-08;Cataluña
La Rioja;1307.0;19.0;2020-11-08;La Rioja
Extremadura;3497.0;56.0;2020-11-08;Extremadura
Melilla;582.0;12.0;2020-11-08;Melilla
Castilla-La Mancha;6775.0;27.0;2020-11-08;Castilla - La Mancha
Ceuta;482.0;13.0;2020-11-08;Ceuta
Madrid;13316.0;423.0;2020-11-08;Comunidad de Madrid
Galicia;4840.0;73.0;2020-11-08;Galicia
Navarra;3427.0;44.0;2020-11-08;Comunidad Foral de Navarra
Canarias;825.0;14.0;2020-11-08;Canarias
Castilla-Leon;11918.0;236.0;2020-11-15;Castilla y León
Aragon;5044.0;186.0;2020-11-15;Aragón
Galicia;4070.0;84.0;2020-11-15;Galicia
Cantabria;1596.0;16.0;2020-11-15;Cantabria
Pais Vasco;10611.0;94.0;2020-11-15;País Vasco
Cataluña;20573.0;137.0;2020-11-15;Cataluña
Murcia;7086.0;83.0;2020-11-15;Región de Murcia
Madrid;10832.0;211.0;2020-11-15;Comunidad de Madrid
Valencia;11740.0;127.0;2020-11-15;Comunitat Valenciana
Extremadura;2650.0;56.0;2020-11-15;Extremadura
Melilla;264.0;8.0;2020-11-15;Melilla
Canarias;931.0;15.0;2020-11-15;Canarias
Andalucia;28596.0;374.0;2020-11-15;Andalucía
Baleares;1503.0;13.0;2020-11-15;Illes Balears
Navarra;1756.0;40.0;2020-11-15;Comunidad Foral de Navarra
Castilla-La Mancha;5639.0;93.0;2020-11-15;Castilla - La Mancha
La Rioja;1155.0;24.0;2020-11-15;La Rioja
Asturias;3412.0;127.0;2020-11-15;Principado de Asturias
Ceuta;383.0;12.0;2020-11-15;Ceuta
Total;129759.0;1936.0;2020-11-15;Total
Asturias;2968.0;139.0;2020-11-22;Principado de Asturias
Castilla-La Mancha;4472.0;114.0;2020-11-22;Castilla - La Mancha
Melilla;262.0;3.0;2020-11-22;Melilla
Navarra;1149.0;35.0;2020-11-22;Comunidad Foral de Navarra
Andalucia;22695.0;372.0;2020-11-22;Andalucía
Cataluña;14187.0;133.0;2020-11-22;Cataluña
Extremadura;1701.0;48.0;2020-11-22;Extremadura
Murcia;3193.0;71.0;2020-11-22;Región de Murcia
Canarias;850.0;11.0;2020-11-22;Canarias
Pais Vasco;7229.0;96.0;2020-11-22;País Vasco
Total;98139.0;1850.0;2020-11-22;Total
Baleares;1315.0;9.0;2020-11-22;Illes Balears
Valencia;10058.0;155.0;2020-11-22;Comunitat Valenciana
Galicia;3988.0;70.0;2020-11-22;Galicia
Ceuta;223.0;2.0;2020-11-22;Ceuta
Cantabria;1437.0;19.0;2020-11-22;Cantabria
Aragon;2927.0;182.0;2020-11-22;Aragón
La Rioja;799.0;20.0;2020-11-22;La Rioja
Castilla-Leon;9764.0;223.0;2020-11-22;Castilla y León
Madrid;8922.0;148.0;2020-11-22;Comunidad de Madrid
Baleares;1161.0;6.0;2020-11-29;Illes Balears
Navarra;932.0;41.0;2020-11-29;Comunidad Foral de Navarra
Galicia;3063.0;53.0;2020-11-29;Galicia
Extremadura;1423.0;54.0;2020-11-29;Extremadura
Aragon;1966.0;131.0;2020-11-29;Aragón
Ceuta;123.0;8.0;2020-11-29;Ceuta
Canarias;861.0;17.0;2020-11-29;Canarias
Andalucia;16665.0;376.0;2020-11-29;Andalucía
Pais Vasco;4551.0;129.0;2020-11-29;País Vasco
La Rioja;627.0;17.0;2020-11-29;La Rioja
Castilla-Leon;5403.0;194.0;2020-11-29;Castilla y León
Cantabria;882.0;11.0;2020-11-29;Cantabria
Valencia;8836.0;130.0;2020-11-29;Comunitat Valenciana
Madrid;7445.0;151.0;2020-11-29;Comunidad de Madrid
Castilla-La Mancha;4007.0;102.0;2020-11-29;Castilla - La Mancha
Asturias;2109.0;154.0;2020-11-29;Principado de Asturias
Murcia;2025.0;54.0;2020-11-29;Región de Murcia
Cataluña;9229.0;416.0;2020-11-29;Cataluña
Melilla;170.0;5.0;2020-11-29;Melilla
Total;71478.0;2049.0;2020-11-29;Total
Baleares;1363.0;21.0;2020-12-06;Illes Balears
Valencia;7838.0;146.0;2020-12-06;Comunitat Valenciana
La Rioja;483.0;18.0;2020-12-06;La Rioja
Melilla;129.0;3.0;2020-12-06;Melilla
Asturias;1429.0;119.0;2020-12-06;Principado de Asturias
Madrid;7476.0;74.0;2020-12-06;Comunidad de Madrid
Murcia;1425.0;26.0;2020-12-06;Región de Murcia
Castilla-La Mancha;3021.0;64.0;2020-12-06;Castilla - La Mancha
Navarra;618.0;30.0;2020-12-06;Comunidad Foral de Navarra
Castilla-Leon;3481.0;160.0;2020-12-06;Castilla y León
Aragon;1944.0;81.0;2020-12-06;Aragón
Cantabria;876.0;20.0;2020-12-06;Cantabria
Andalucia;9679.0;393.0;2020-12-06;Andalucía
Pais Vasco;3761.0;101.0;2020-12-06;País Vasco
Total;56439.0;1584.0;2020-12-06;Total
Galicia;2374.0;62.0;2020-12-06;Galicia
Canarias;1023.0;7.0;2020-12-06;Canarias
Ceuta;72.0;1.0;2020-12-06;Ceuta
Cataluña;8564.0;215.0;2020-12-06;Cataluña
Extremadura;883.0;43.0;2020-12-06;Extremadura
Andalucia;6045.0;228.0;2020-12-13;Andalucía
Baleares;1600.0;2.0;2020-12-13;Illes Balears
Ceuta;53.0;1.0;2020-12-13;Ceuta
Navarra;579.0;21.0;2020-12-13;Comunidad Foral de Navarra
Valencia;6800.0;104.0;2020-12-13;Comunitat Valenciana
Cantabria;629.0;16.0;2020-12-13;Cantabria
Total;45928.0;1372.0;2020-12-13;Total
Extremadura;645.0;25.0;2020-12-13;Extremadura
Castilla-Leon;2796.0;165.0;2020-12-13;Castilla y León
La Rioja;303.0;12.0;2020-12-13;La Rioja
Madrid;7042.0;111.0;2020-12-13;Comunidad de Madrid
Aragon;1104.0;90.0;2020-12-13;Aragón
Murcia;971.0;35.0;2020-12-13;Región de Murcia
Pais Vasco;3046.0;98.0;2020-12-13;País Vasco
Castilla-La Mancha;2381.0;70.0;2020-12-13;Castilla - La Mancha
Cataluña;7495.0;204.0;2020-12-13;Cataluña
Galicia;2175.0;41.0;2020-12-13;Galicia
Canarias;1190.0;12.0;2020-12-13;Canarias
Melilla;90.0;-1.0;2020-12-13;Melilla
Asturias;984.0;138.0;2020-12-13;Principado de Asturias
Melilla;125.0;1.0;2020-12-20;Melilla
Baleares;2535.0;10.0;2020-12-20;Illes Balears
Ceuta;60.0;1.0;2020-12-20;Ceuta
Castilla-Leon;2703.0;139.0;2020-12-20;Castilla y León
Madrid;12746.0;100.0;2020-12-20;Comunidad de Madrid
Pais Vasco;3364.0;111.0;2020-12-20;País Vasco
Navarra;661.0;15.0;2020-12-20;Comunidad Foral de Navarra
Castilla-La Mancha;3533.0;114.0;2020-12-20;Castilla - La Mancha
Canarias;1588.0;20.0;2020-12-20;Canarias
Cataluña;11539.0;181.0;2020-12-20;Cataluña
Aragon;1474.0;85.0;2020-12-20;Aragón
Cantabria;516.0;22.0;2020-12-20;Cantabria
La Rioja;369.0;4.0;2020-12-20;La Rioja
Valencia;11364.0;135.0;2020-12-20;Comunitat Valenciana
Murcia;1291.0;40.0;2020-12-20;Región de Murcia
Andalucia;7428.0;199.0;2020-12-20;Andalucía
Extremadura;1833.0;33.0;2020-12-20;Extremadura
Asturias;887.0;65.0;2020-12-20;Principado de Asturias
Galicia;2645.0;27.0;2020-12-20;Galicia
Total;66661.0;1302.0;2020-12-20;Total
Madrid;11511.0;50.0;2020-12-27;Comunidad de Madrid
Extremadura;2132.0;15.0;2020-12-27;Extremadura
La Rioja;355.0;4.0;2020-12-27;La Rioja
Pais Vasco;2161.0;104.0;2020-12-27;País Vasco
Galicia;2093.0;21.0;2020-12-27;Galicia
Murcia;854.0;18.0;2020-12-27;Región de Murcia
Aragon;1012.0;49.0;2020-12-27;Aragón
Total;57715.0;898.0;2020-12-27;Total
Baleares;2897.0;15.0;2020-12-27;Illes Balears
Castilla-La Mancha;3145.0;50.0;2020-12-27;Castilla - La Mancha
Castilla-Leon;1638.0;70.0;2020-12-27;Castilla y León
Valencia;10158.0;95.0;2020-12-27;Comunitat Valenciana
Ceuta;24.0;2.0;2020-12-27;Ceuta
Asturias;519.0;37.0;2020-12-27;Principado de Asturias
Melilla;44.0;0.0;2020-12-27;Melilla
Andalucia;5499.0;227.0;2020-12-27;Andalucía
Canarias;1001.0;20.0;2020-12-27;Canarias
Navarra;504.0;21.0;2020-12-27;Comunidad Foral de Navarra
Cataluña;11818.0;97.0;2020-12-27;Cataluña
Cantabria;350.0;3.0;2020-12-27;Cantabria
Galicia;2673.0;44.0;2021-01-03;Galicia
Valencia;11889.0;163.0;2021-01-03;Comunitat Valenciana
Asturias;606.0;30.0;2021-01-03;Principado de Asturias
Aragon;1899.0;50.0;2021-01-03;Aragón
Total;73314.0;1013.0;2021-01-03;Total
Pais Vasco;2534.0;82.0;2021-01-03;País Vasco
Navarra;718.0;10.0;2021-01-03;Comunidad Foral de Navarra
Murcia;2084.0;28.0;2021-01-03;Región de Murcia
Melilla;129.0;0.0;2021-01-03;Melilla
Baleares;3249.0;17.0;2021-01-03;Illes Balears
Madrid;13874.0;141.0;2021-01-03;Comunidad de Madrid
Andalucia;6616.0;173.0;2021-01-03;Andalucía
Ceuta;81.0;0.0;2021-01-03;Ceuta
Cataluña;15731.0;115.0;2021-01-03;Cataluña
Castilla-Leon;2041.0;60.0;2021-01-03;Castilla y León
Castilla-La Mancha;3658.0;27.0;2021-01-03;Castilla - La Mancha
Cantabria;550.0;28.0;2021-01-03;Cantabria
Canarias;1327.0;17.0;2021-01-03;Canarias
La Rioja;518.0;5.0;2021-01-03;La Rioja
Extremadura;3137.0;23.0;2021-01-03;Extremadura
